"DateTime";"[Chambre][5PST02-A 4in1 Multi-Sensor][Ouverture] ";"[Chambre][Chambre à coucher][Température] °C";"[Lyon][exterieur][Température] °C"
"2018-05-17 10:00:00";;18,4;17,4
"2018-05-17 11:00:00";;18,4;18,275
"2018-05-17 12:00:00";;18,65;18,525
"2018-05-17 12:11:29";0
"2018-05-17 13:00:00";;18,875;19,15
"2018-05-17 14:00:00";;18,95;19,6
"2018-05-17 15:00:00";;19,025;19,95
"2018-05-17 16:00:00";;19,1;20,175
"2018-05-17 17:00:00";;19,1;20,1
"2018-05-17 18:00:00";;19,1;20,075
"2018-05-17 19:00:00";;19,1;19,625
"2018-05-17 20:00:00";;19,175;19,225
"2018-05-17 21:00:00";;19,2;18,9
"2018-05-17 22:00:00";;19,275;18,6
"2018-05-17 23:00:00";;19,3;18,325
"2018-05-18 00:00:00";;19,3;18
"2018-05-18 01:00:00";;19,3;17,8
"2018-05-18 02:00:00";;19,3;17,55
"2018-05-18 03:00:00";;19,3;17,275
"2018-05-18 04:00:00";;19,3;17,15
"2018-05-18 05:00:00";;19,225;16,925
"2018-05-18 06:00:00";;19,2;16,675
"2018-05-18 07:00:00";;19,275;16,6
"2018-05-18 08:00:00";;19,3;16,75
"2018-05-18 09:00:00";;19,375;17,525
"2018-05-18 10:00:00";;19,4;18,175
"2018-05-18 11:00:00";;19,4;18,8
"2018-05-18 12:00:00";;19,4;19,525
"2018-05-18 13:00:00";;19,425;20,225
"2018-05-18 13:50:57";1
"2018-05-18 14:00:00";;19,6;20,875
"2018-05-18 15:00:00";;19,75;21,525
"2018-05-18 16:00:00";;19,875;21,95
"2018-05-18 17:00:00";;19,9;21,9
"2018-05-18 18:00:00";;20;21,75
"2018-05-18 19:00:00";;20;21,45
"2018-05-18 20:00:00";;20;20,925
"2018-05-18 21:00:00";;19,925;20,45
"2018-05-18 22:00:00";;19,875;19,975
"2018-05-18 23:00:00";;19,775;19,55
"2018-05-19 00:00:00";;19,725;19,2
"2018-05-19 00:50:37";0
"2018-05-19 01:00:00";;20,025;18,8
"2018-05-19 02:00:00";;20,1;18,45
"2018-05-19 03:00:00";;20,1;18,1
"2018-05-19 04:00:00";;20,1;17,85
"2018-05-19 05:00:00";;20,075;17,55
"2018-05-19 06:00:00";;20;17,2
"2018-05-19 07:00:00";;20;17,125
"2018-05-19 08:00:00";;20;17,45
"2018-05-19 08:59:59";1
"2018-05-19 09:00:00";;19,725;18,225
"2018-05-19 10:00:00";;19,55;19,1
"2018-05-19 11:00:00";;19,575;19,9
"2018-05-19 12:00:00";;19,75;20,7
"2018-05-19 13:00:00";;19,875;21,2
"2018-05-19 14:00:00";;20,1;21,75
"2018-05-19 15:00:00";;20,25;22,175
"2018-05-19 16:00:00";;20,45;22,4
"2018-05-19 17:00:00";;20,5;22,325
"2018-05-19 18:00:00";;20,5;22,075
"2018-05-19 19:00:00";;20,5;21,675
"2018-05-19 20:00:00";;20,5;21,25
"2018-05-19 21:00:00";;20,475;20,775
"2018-05-19 22:00:00";;20,4;20,4
"2018-05-19 23:00:00";;20,3;20,05
"2018-05-19 23:49:07";0
"2018-05-20 00:00:00";;20,475;19,525
