Temp_chambre;Temp_Lyon;Ouverture;Heure;Temp_1H
26,15;27,075;1;50400;0,175
26,325;27,575;1;54000;0,075
26,4;28,05;1;57600;0,1
26,5;27,975;1;61200;0
26,5;27,825;1;64800;0,05
26,55;27,475;1;68400;-0,1
26,45;26,725;1;72000;-0,1
26,35;26,125;1;75600;-0,2
26,15;25,725;1;79200;-0,2
25,95;25,525;1;82800;0,025
25,975;25,15;1;0;0,45
26,425;24,825;1;3600;0,075
26,5;24,675;1;7200;0,025
26,525;24,525;1;10800;0
26,525;24,375;1;14400;-0,025
26,5;24,2;1;18000;-0,225
26,275;23,875;1;21600;-0,075
26,2;23,775;1;25200;-0,05
26,15;23,8;1;28800;-0,1
26,05;24,2;1;32400;-0,15
25,9;24,875;1;36000;-0,025
25,875;25,75;1;39600;0,125
26;26,5;1;43200;0,2
26,2;27,05;1;46800;0,15
26,35;27,55;1;50400;0,075
;;0;50693;0
26,425;28,025;0;54000;0,075
26,5;28,3;0;57600;0
26,5;28,325;0;61200;0
26,5;28,075;0;64800;0
26,5;27,575;0;68400;0
26,5;27,15;0;72000;0
26,5;26,75;0;75600;0
26,5;26,375;0;79200;0,025
26,525;26;0;82800;0,25
;;1;84326;0
26,775;25,5;1;0;-0,05
26,725;24,9;1;3600;-0,075
26,65;24,475;1;7200;-0,1
26,55;24,25;1;10800;-0,05
26,5;23,95;1;14400;-0,15
26,35;23,55;1;18000;-0,225
26,125;23,175;1;21600;-0,15
25,975;23,125;1;25200;-0,05
25,925;23,45;1;28800;-0,175
25,75;24,05;1;32400;0
25,75;24,8;1;36000;0,1
25,85;25,85;1;39600;0,15
26;26,625;1;43200;0,2
26,2;27,125;1;46800;0,2
26,4;27,575;1;50400;0,15
26,55;28;1;54000;0,175
26,725;28,425;1;57600;0,1
26,825;28,5;1;61200;0,075
26,9;28,4;1;64800;0
26,9;28,175;1;68400;0,025
26,925;27,825;1;72000;0,15
27,075;27,45;1;75600;0,025
27,1;27,05;1;79200;0
27,1;26,725;1;82800;0,15
27,25;26,3;1;0;-0,075
27,175;26,05;1;3600;-0,075
27,1;25,775;1;7200;-0,05
27,05;25,525;1;10800;-0,1
26,95;25,225;1;14400;-0,1
26,85;24,85;1;18000;-0,2
26,65;24,45;1;21600;-0,225
26,425;24,225;1;25200;0
26,425;24,475;1;28800;-0,025
26,4;25,05;1;32400;0,05
26,45;25,925;1;36000;0,1
26,55;26,875;1;39600;0,2
26,75;27,725;1;43200;0,175
26,925;28,275;1;46800;0,125
27,05;28,725;1;50400;0,225
27,275;29,175;1;54000;0,175
27,45;29,525;1;57600;0,05
27,5;29,575;1;61200;0,1
27,6;29,425;1;64800;0
27,6;29,2;1;68400;0
27,6;28,8;1;72000;0
27,6;28,425;1;75600;0,075
27,675;28,05;1;79200;0,025
27,7;27,75;1;82800;0
27,7;27,35;1;0;0,075
27,775;26,925;1;3600;-0,075
27,7;26,625;1;7200;-0,05
27,65;26,275;1;10800;-0,05
27,6;25,925;1;14400;-0,05
27,55;25,65;1;18000;-0,125
27,425;25,375;1;21600;-0,175
27,25;25,2;1;25200;-0,175
27,075;25,05;1;28800;-0,2
26,875;25,325;1;32400;-0,05
26,825;26,25;1;36000;0,025
26,85;26,4;1;39600;0,025
26,875;26,95;1;43200;0,175
27,05;27,45;1;46800;0,2
27,25;28,175;1;50400;0,2
27,45;28,825;1;54000;-0,025
27,425;28;1;57600;-0,625
26,8;25,725;1;61200;-0,3
26,5;25,05;1;64800;-0,075
26,425;24,725;1;68400;-0,375
26,05;24,225;1;72000;0
26,05;24,175;1;75600;0,25
26,3;23,975;1;79200;0,075
26,375;23,775;1;82800;-0,5
25,875;23,15;1;0;0,6
;;0;2371;0
26,475;22,975;0;3600;0,325
26,8;23,15;0;7200;0,175
26,975;23,05;0;10800;0,025
27;22,975;0;14400;0
27;23;0;18000;0
27;22,775;0;21600;0
27;22,525;0;25200;-0,075
26,925;22,65;0;28800;-0,075
26,85;23;0;32400;-1,15
;;1;35681;0
25,7;23,525;1;36000;-0,725
24,975;24,175;1;39600;0,175
25,15;24,975;1;43200;0,3
25,45;25,4;1;46800;0,375
25,825;25,725;1;50400;0,2
26,025;26,225;1;54000;0,1
26,125;26,525;1;57600;0,15
26,275;26,6;1;61200;0,15
26,425;26,4;1;64800;0,15
26,575;26,175;1;68400;-0,175
26,4;25,775;1;72000;-0,175
26,225;25,275;1;75600;-0,125
26,1;24,75;1;79200;-0,075
26,025;24,175;1;82800;0,025
26,05;23,8;1;0;0,425
;;0;1472;0
26,475;23,55;0;3600;0,175
26,65;23,325;0;7200;-0,025
26,625;23,1;0;10800;-0,025
26,6;23;0;14400;0
26,6;22,9;0;18000;-0,05
26,55;22,6;0;21600;-0,05
26,5;22,775;0;25200;0
26,5;23,1;0;28800;0
26,5;23,525;0;32400;-0,125
26,375;24,325;0;36000;-0,2
;;1;39163;0
26,175;25,15;1;39600;-0,075
26,1;25,75;1;43200;0
26,1;26,375;1;46800;0,125
26,225;26,85;1;50400;0,15
26,375;27,275;1;54000;0,125
26,5;27,575;1;57600;0,05
26,55;27,55;1;61200;0
26,55;27,325;1;64800;-0,05
26,5;26,95;1;68400;0
26,5;26,5;1;72000;0
26,5;26,1;1;75600;-0,05
26,45;25,7;1;79200;-0,05
26,4;25,25;1;82800;0,1
26,5;24,825;1;0;0
26,5;24,425;1;3600;-0,075
26,425;24,15;1;7200;-0,075
26,35;23,85;1;10800;-0,075
26,275;23,575;1;14400;-0,075
26,2;23,425;1;18000;0,175
26,375;23,225;1;21600;0,025
;;0;21786;0
26,4;23,1;0;25200;0,025
26,425;23,375;0;28800;-0,075
26,35;24,15;0;32400;-0,15
;;1;33491;0
26,2;25,075;1;36000;0
26,2;25,875;1;39600;0,1
26,3;26,7;1;43200;0,125
26,425;27,4;1;46800;0,125
26,55;27,95;1;50400;0,15
26,7;28,425;1;54000;0,175
26,875;28,8;1;57600;0,125
27;28,775;1;61200;0
27;28,55;1;64800;0
27;28,225;1;68400;0
27;27,825;1;72000;0
27;27,3;1;75600;-0,05
26,95;26,875;1;79200;-0,05
26,9;26,55;1;82800;0,1
27;26,175;1;0;0,1
27,1;25,85;1;3600;-0,075
27,025;25,6;1;7200;-0,025
27;25,25;1;10800;0
27;24,95;1;14400;-0,075
26,925;24,725;1;18000;-0,125
26,8;24,4;1;21600;-0,125
26,675;24,3;1;25200;-0,125
26,55;24,55;1;28800;-0,475
26,075;25,225;1;32400;-0,1
25,975;26,025;1;36000;0,45
26,425;26,95;1;39600;0,475
26,9;27,7;1;43200;0,1
;;0;46020;0
;;1;46567;0
27;28,35;1;46800;0,1
27,1;28,95;1;50400;0,2
27,3;29,65;1;54000;0,1
27,4;30,025;1;57600;0,05
27,45;29,825;1;61200;0,05
27,5;29,525;1;64800;0
27,5;29,3;1;68400;0
27,5;28,775;1;72000;0,075
27,575;28,275;1;75600;0,025
27,6;27,9;1;79200;0,025
27,625;27,65;1;82800;0,175
;;0;84492;0
27,8;27,4;0;0;0,1
27,9;27,075;0;3600;-0,075
27,825;26,775;0;7200;-0,025
27,8;26,4;0;10800;0
27,8;26,05;0;14400;0
27,8;25,625;0;18000;-0,05
27,75;25,275;0;21600;-0,05
27,7;25,175;0;25200;-0,35
27,35;25,45;0;28800;-0,4
;;1;30428;0
26,95;26,525;1;32400;0,225
27,175;27,45;1;36000;0,3
27,475;28,2;1;39600;0,125
27,6;28,975;1;43200;0
;;0;43223;0
27,6;29,65;0;46800;0,075
27,675;30,25;0;50400;0,1
27,775;30,7;0;54000;0,1
27,875;30,8;0;57600;0,025
27,9;30,9;0;61200;0,075
27,975;30,7;0;64800;0,1
;;1;66758;0
28,075;30,25;1;68400;0,025
28,1;29,7;1;72000;0,1
28,2;29,25;1;75600;0
28,2;28,875;1;79200;-0,075
28,125;28,475;1;82800;0,025
28,15;28,125;1;0;0,15
28,3;27,825;1;3600;-28,3
28,3;27,25;1;10800;-0,1
28,2;27;1;14400;0
28,2;26,9;1;15300;0
28,2;26,9;1;16200;0
28,2;26,8;1;17100;0
28,2;26,7;1;18000;0
28,2;26,7;1;18900;0
28,2;26,6;1;19800;0
28,2;26,5;1;20700;0
28,2;26,4;1;21600;-0,1
28,2;26,4;1;22500;-0,1
28,2;26,4;1;23400;-0,1
28,2;26,4;1;24300;-0,1
28,1;26,3;1;25200;0
28,1;26,3;1;26100;0
28,1;26,3;1;27000;0
28,1;26,3;1;27900;0
28,1;26,4;1;28800;-0,1
28,1;26,4;1;29700;-0,2
28,1;26,6;1;30600;-0,4
28,1;26,6;1;31500;-0,4
28;26,8;1;32400;-0,4
;;1;33072;0
27,9;26,8;1;33300;-0,3
27,7;27;1;34200;0
27,7;27,1;1;35100;0
27,6;28,1;1;36000;0,2
27,6;28;1;36900;0,3
27,7;28;1;37800;0,3
27,7;28,1;1;38700;0,3
27,8;28,7;1;39600;0,2
27,9;28,7;1;40500;0,2
28;29,1;1;41400;0,2
28;29,1;1;42300;0,4
28;29,1;1;43200;0,5
28,1;29,2;1;44100;0,6
28,2;29,3;1;45000;0,5
28,4;29,5;1;45900;0,4
28,5;29,6;1;46800;0,3
28,7;29,9;1;47700;0,2
28,7;29,9;1;48600;0,2
28,8;30,1;1;49500;0,2
28,8;30,2;1;50400;0,2
28,9;30,4;1;51300;0,2
28,9;30,4;1;52200;0,2
29;30,6;1;53100;0,2
29;30,7;1;54000;0,3
;;1;54467;0
29,1;30,8;1;54900;0,2
29,1;30,9;1;55800;0,2
29,2;31;1;56700;0,2
29,3;31,1;1;57600;0,2
29,3;31,3;1;58500;0,3
29,3;31,4;1;59400;0,2
29,4;31,4;1;60300;0,1
29,5;31,5;1;61200;-0,2
29,6;31,4;1;62100;-0,3
;;0;62145;0
29,5;31,4;0;63000;-0,3
29,5;31,4;0;63900;-0,3
29,3;31,3;0;64800;-29,3
29,3;31,3;0;65700;-29,3
29,2;31,3;0;66600;-29,2
29,2;31,2;0;67500;-29,2
29,2;;0;68145;-29,2
