,dateTime,Ouverture,Chamb_Temp,Chamb_CO2,Lyon_Temp,Temp_1H
502,21600,0.0,22.4,1039.0,-3.424999999999997,-0.04999999999999716
503,25200,0.0,22.35,930.25,-3.700000000000003,-0.02500000000000213
504,28800,0.0,22.325,885.0,-3.599999999999998,-0.07499999999999929
505,31777,1.0,22.325,885.0,-3.599999999999998,0.0
506,32400,1.0,22.25,726.25,-3.3000000000000007,-0.3500000000000014
507,36000,1.0,21.9,575.25,-2.4499999999999993,-0.17499999999999716
508,39600,1.0,21.725,560.25,-1.25,-0.02500000000000213
509,43200,1.0,21.7,569.0,-0.3000000000000007,0.125
510,46800,1.0,21.825,618.5,0.27500000000000213,0.1999999999999993
511,50400,1.0,22.025,608.5,0.625,0.15000000000000213
512,54000,1.0,22.175,568.75,0.8999999999999986,0.1750000000000007
513,57600,1.0,22.35,475.25,1.2749999999999986,0.14999999999999858
514,61200,1.0,22.5,474.5,1.5500000000000007,0.0
515,64800,1.0,22.5,506.0,1.3999999999999986,0.0
516,68400,1.0,22.5,513.333333,1.033332999999999,0.0
517,72000,1.0,22.5,490.75,0.5749999999999993,0.0
518,75600,1.0,22.5,492.5,0.14999999999999858,0.0
519,79200,1.0,22.5,472.25,-0.22500000000000142,-0.10000000000000142
520,82800,1.0,22.4,487.0,-0.5249999999999986,-0.04999999999999716
521,0,1.0,22.35,560.25,-0.8500000000000014,0.22499999999999787
522,557,0.0,22.35,560.25,-0.8500000000000014,0.0
523,3600,0.0,22.575,878.5,-1.5,0.125
524,7200,0.0,22.7,1061.0,-1.9749999999999979,0.0
525,10800,0.0,22.7,1157.25,-2.4499999999999993,0.0
526,14400,0.0,22.7,1200.75,-2.8000000000000007,0.0
527,18000,0.0,22.7,1257.0,-3.0249999999999986,0.05000000000000071
528,21600,0.0,22.75,1281.5,-3.5500000000000007,-0.05000000000000071
529,25200,0.0,22.7,1332.25,-3.8249999999999993,0.0
530,28800,0.0,22.7,1388.5,-3.7749999999999986,-0.22499999999999787
531,31534,1.0,22.7,1388.5,-3.7749999999999986,0.0
532,32400,1.0,22.475,921.0,-3.2250000000000014,-0.4250000000000007
533,36000,1.0,22.05,566.25,-2.1750000000000007,-0.15000000000000213
534,39600,1.0,21.9,542.0,-0.8999999999999986,0.10000000000000142
535,43200,1.0,22.0,558.25,0.25,0.2749999999999986
536,46800,1.0,22.275,460.5,0.8250000000000028,0.20000000000000284
537,50400,1.0,22.475,421.0,1.3249999999999993,0.17499999999999716
538,54000,1.0,22.65,424.0,1.625,0.05000000000000071
539,57600,1.0,22.7,469.25,1.875,0.05000000000000071
540,61200,1.0,22.75,478.0,1.6499999999999986,0.05000000000000071
541,64800,1.0,22.8,496.0,1.375,-0.10000000000000142
542,68400,1.0,22.7,452.5,0.3500000000000014,-0.22499999999999787
543,72000,1.0,22.475,462.25,-0.3500000000000014,-0.125
544,75600,1.0,22.35,435.25,-0.75,-0.125
545,79200,1.0,22.225,424.0,-1.1500000000000021,-0.15000000000000213
546,82800,1.0,22.075,424.75,-1.5249999999999986,0.0
547,85980,0.0,22.075,424.75,-1.5249999999999986,0.0
548,0,0.0,22.075,518.5,-1.9250000000000007,0.3500000000000014
549,3600,0.0,22.425,936.5,-2.6000000000000014,0.07499999999999929
550,7200,0.0,22.5,1281.5,-3.0500000000000007,0.02499999999999858
551,10800,0.0,22.525,1177.5,-3.474999999999998,-0.02499999999999858
552,14400,0.0,22.5,974.5,-3.8500000000000014,0.0
553,18000,0.0,22.5,869.0,-4.024999999999999,-0.10000000000000142
554,21600,0.0,22.4,831.5,-4.099999999999998,-0.04999999999999716
555,25200,0.0,22.35,760.75,-4.475000000000001,-0.05000000000000071
556,28800,0.0,22.3,780.0,-4.775000000000002,-0.375
557,30934,1.0,22.3,780.0,-4.775000000000002,0.0
558,32400,1.0,21.925,513.0,-4.475000000000001,-0.9250000000000007
559,36000,1.0,21.0,415.75,-3.3999999999999986,-0.375
560,39600,1.0,20.625,416.25,-2.25,-0.02499999999999858
561,43200,1.0,20.6,440.25,-1.6500000000000021,0.0
562,46549,0.0,20.6,440.25,-1.6500000000000021,0.0
563,46800,0.0,20.6,478.5,-1.2000000000000028,0.42499999999999716
564,50400,0.0,21.025,537.75,-1.3249999999999993,0.3150000000000013
565,54000,0.0,21.34,577.0,-1.2399999999999984,0.21000000000000085
566,57600,0.0,21.55,610.0,-1.0500000000000007,0.125
567,61200,0.0,21.675,604.75,-1.0749999999999993,0.02499999999999858
568,64800,0.0,21.7,610.75,-1.3249999999999993,0.0
569,68400,0.0,21.7,561.75,-1.6750000000000007,-0.07499999999999929
570,72000,0.0,21.625,543.75,-2.1499999999999986,-0.004999999999999005
571,75600,0.0,21.62,526.0,-2.740000000000002,-0.019999999999999574
572,79200,0.0,21.6,540.25,-3.200000000000003,0.0
573,82800,0.0,21.6,475.5,-3.6000000000000014,0.02499999999999858
574,0,0.0,21.625,476.75,-4.350000000000001,0.07499999999999929
575,3600,0.0,21.7,489.0,-4.849999999999998,0.05000000000000071
576,7200,0.0,21.75,677.0,-5.125,0.0
577,10800,0.0,21.75,778.75,-5.725000000000001,-0.05000000000000071
578,14400,0.0,21.7,702.25,-6.149999999999999,-0.07499999999999929
579,18000,0.0,21.625,681.0,-6.300000000000001,-0.02499999999999858
580,21600,0.0,21.6,692.5,-6.475000000000001,-0.07500000000000284
581,25200,0.0,21.525,661.25,-6.524999999999999,-0.07499999999999929
582,28800,0.0,21.45,693.75,-6.549999999999999,-0.07499999999999929
583,32400,0.0,21.375,629.25,-6.25,-0.3249999999999993
584,35812,1.0,21.375,629.25,-6.25,0.0
585,36000,1.0,21.05,568.5,-5.25,-1.0500000000000007
586,39600,1.0,20.0,426.5,-2.8500000000000014,-0.25
587,43200,1.0,19.75,399.75,-1.5249999999999986,0.22500000000000142
588,46800,1.0,19.975,398.5,-0.6000000000000014,0.42499999999999716
589,50400,1.0,20.4,377.5,-0.04999999999999716,0.4750000000000014
590,54000,1.0,20.875,376.0,0.5749999999999993,0.5
591,57600,1.0,21.375,372.75,1.1750000000000007,0.3000000000000007
592,61200,1.0,21.675,389.75,1.1499999999999986,0.0
593,68400,1.0,21.55,485.25,0.7249999999999979,-0.05000000000000071
594,72000,1.0,21.5,555.0,0.2749999999999986,-0.10000000000000142
595,75600,1.0,21.4,651.75,-0.1999999999999993,-0.04999999999999716
596,79200,1.0,21.35,590.0,-0.6000000000000014,-0.10000000000000142
597,82800,1.0,21.25,538.5,-0.875,0.02499999999999858
598,0,1.0,21.275,519.0,-1.125,0.45000000000000284
599,2565,0.0,21.275,519.0,-1.125,0.0
600,3600,0.0,21.725,904.75,-1.75,0.17499999999999716
601,7200,0.0,21.9,1073.25,-2.049999999999997,0.0
602,10800,0.0,21.9,1056.25,-2.4499999999999993,0.0
603,14400,0.0,21.9,1004.75,-3.049999999999997,0.0
